entry_id,category,domain,slug,tier,label,path,generated_at
MENT-GEN-0201,mental_health,psychological,omega-3-ment-gen-0201,Bronze,AMBER,entries/psychological/omega-3-ment-gen-0201/mental_health/v1,2025-11-06T07:07:38.337592+00:00
MENT-GEN-0202,mental_health,psychological,sam-e-ment-gen-0202,Bronze,AMBER,entries/psychological/sam-e-ment-gen-0202/mental_health/v1,2025-11-06T07:07:38.410346+00:00
MENT-GEN-0203,mental_health,psychological,st-johns-wort-ment-gen-0203,Bronze,AMBER,entries/psychological/st-johns-wort-ment-gen-0203/mental_health/v1,2025-11-06T07:07:38.484483+00:00
MENT-GEN-0204,mental_health,psychological,saffron-ment-gen-0204,Bronze,AMBER,entries/psychological/saffron-ment-gen-0204/mental_health/v1,2025-11-06T07:07:38.556447+00:00
MENT-GEN-0205,mental_health,psychological,probiotics-ment-gen-0205,Bronze,AMBER,entries/psychological/probiotics-ment-gen-0205/mental_health/v1,2025-11-06T07:07:38.627937+00:00
MENT-GEN-0206,mental_health,psychological,vitamin-d-ment-gen-0206,Bronze,AMBER,entries/psychological/vitamin-d-ment-gen-0206/mental_health/v1,2025-11-06T07:07:38.702870+00:00
MENT-GEN-0207,mental_health,psychological,b-complex-ment-gen-0207,Bronze,AMBER,entries/psychological/b-complex-ment-gen-0207/mental_health/v1,2025-11-06T07:07:38.785256+00:00
MENT-GEN-0208,mental_health,psychological,zinc-ment-gen-0208,Bronze,AMBER,entries/psychological/zinc-ment-gen-0208/mental_health/v1,2025-11-06T07:07:38.853363+00:00
MENT-GEN-0209,mental_health,psychological,n-acetyl-cysteine-ment-gen-0209,Bronze,AMBER,entries/psychological/n-acetyl-cysteine-ment-gen-0209/mental_health/v1,2025-11-06T07:07:38.924516+00:00
MENT-GEN-0210,mental_health,psychological,inositol-ment-gen-0210,Bronze,AMBER,entries/psychological/inositol-ment-gen-0210/mental_health/v1,2025-11-06T07:07:38.992895+00:00
MENT-GEN-0211,mental_health,psychological,l-tyrosine-ment-gen-0211,Bronze,AMBER,entries/psychological/l-tyrosine-ment-gen-0211/mental_health/v1,2025-11-06T07:07:39.062282+00:00
MENT-GEN-0212,mental_health,psychological,l-tryptophan-ment-gen-0212,Bronze,AMBER,entries/psychological/l-tryptophan-ment-gen-0212/mental_health/v1,2025-11-06T07:07:39.137429+00:00
